timestamp,scenario,origin_pods,cache_pods,origin_cpu_mcores,cache_cpu_mcores,origin_mem_MiB,cache_mem_MiB,throughput_rps,cache_hit_ratio,current_replicas
2025-12-28T21:56:08.777418,S3,1,1,0.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:56:19.123512,S3,1,1,0.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:56:29.440595,S3,1,1,0.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:56:39.779791,S3,1,1,0.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:56:50.094266,S3,1,1,0.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:00.414352,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:10.746856,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:21.068638,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:31.390996,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:41.710877,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:57:52.043470,S3,1,1,1.0,1.0,4.0,4.0,0.0,0.0,2
2025-12-28T21:58:02.381982,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:58:12.714799,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:58:23.051517,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:58:33.386555,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:58:43.729824,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:58:54.091176,S3,1,1,2.0,9.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:04.410193,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:14.730312,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:25.051198,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:35.368031,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:45.694102,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T21:59:56.033670,S3,1,1,1.0,5.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:06.355846,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:16.682852,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:27.003438,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:37.370663,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:47.693085,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:00:58.011424,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:01:08.383591,S3,1,1,0.0,8.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:01:18.712041,S3,1,1,0.0,8.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:01:29.057162,S3,1,1,0.0,8.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:01:39.387967,S3,1,1,0.0,8.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:01:49.713014,S3,1,1,0.0,8.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:00.053815,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:10.374050,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:20.701181,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:31.015977,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:41.340193,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:02:51.679491,S3,1,1,1.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:02.023892,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:12.345296,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:22.664968,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:32.991711,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:43.309742,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:03:53.627620,S3,1,1,1.0,6.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:03.950707,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:14.280582,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:24.623384,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:34.943332,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:45.271396,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:04:55.608679,S3,1,1,0.0,7.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:05:05.944927,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:05:16.289365,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:05:26.623596,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:05:36.943986,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:05:47.272003,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:05:57.591214,S3,1,1,0.0,8.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:07.930795,S3,1,1,0.0,11.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:18.271730,S3,1,1,0.0,11.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:28.617305,S3,1,1,0.0,11.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:38.971697,S3,1,1,0.0,11.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:49.413448,S3,1,1,0.0,11.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:06:59.765569,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:07:10.124058,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:07:20.484009,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:07:30.799849,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:07:41.135635,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:07:51.461104,S3,1,1,0.0,14.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:08:01.789087,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:08:12.110268,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:08:22.437795,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:08:32.774305,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:08:43.104375,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:08:53.432234,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:03.789607,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:14.112164,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:24.446767,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:34.787963,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:45.115277,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:09:55.451806,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:05.775622,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:16.122870,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:26.477975,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:36.811522,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:47.152636,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:10:57.500048,S3,1,1,0.0,12.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:11:07.825558,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:11:18.153325,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:11:28.499556,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:11:38.836142,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:11:49.200555,S3,1,1,0.0,13.0,4.0,8.0,0.0,0.0,2
